gene	gene_name	n_snps_in_model	n_snps_used	pred_perf_r2	pred_perf_pval
ENSG00000000457	NA	26	11.0	NA	NA
ENSG00000000460	NA	48	35.0	NA	NA
ENSG00000000971	NA	21	10.0	NA	NA
ENSG00000001036	NA	14	6.0	NA	NA
ENSG00000001084	NA	41	25.0	NA	NA
ENSG00000001167	NA	9	8.0	NA	NA
ENSG00000001460	NA	28	22.0	NA	NA
ENSG00000001461	NA	55	38.0	NA	NA
ENSG00000001561	NA	63	46.0	NA	NA
ENSG00000001617	NA	45	28.0	NA	NA
ENSG00000001626	NA	12	11.0	NA	NA
ENSG00000001629	NA	33	13.0	NA	NA
ENSG00000001630	NA	26	16.0	NA	NA
ENSG00000001631	NA	45	24.0	NA	NA
ENSG00000002016	NA	43	28.0	NA	NA
ENSG00000002549	NA	35	30.0	NA	NA
ENSG00000002587	NA	12	11.0	NA	NA
ENSG00000002745	NA	37	30.0	NA	NA
ENSG00000002822	NA	36	23.0	NA	NA
ENSG00000002834	NA	30	23.0	NA	NA
ENSG00000002919	NA	20	16.0	NA	NA
ENSG00000002933	NA	21	14.0	NA	NA
ENSG00000003056	NA	16	13.0	NA	NA
ENSG00000003137	NA	34	19.0	NA	NA
ENSG00000003147	NA	53	35.0	NA	NA
ENSG00000003249	NA	19	12.0	NA	NA
ENSG00000003393	NA	79	61.0	NA	NA
ENSG00000003400	NA	14	10.0	NA	NA
ENSG00000003402	NA	12	10.0	NA	NA
ENSG00000003436	NA	29	10.0	NA	NA
ENSG00000003509	NA	59	28.0	NA	NA
ENSG00000003756	NA	20	13.0	NA	NA
ENSG00000003987	NA	70	34.0	NA	NA
ENSG00000003989	NA	41	30.0	NA	NA
ENSG00000004139	NA	35	15.0	NA	NA
ENSG00000004142	NA	9	9.0	NA	NA
ENSG00000004399	NA	85	39.0	NA	NA
ENSG00000004455	NA	15	11.0	NA	NA
ENSG00000004468	NA	100	65.0	NA	NA
ENSG00000004487	NA	11	7.0	NA	NA
ENSG00000004534	NA	36	20.0	NA	NA
ENSG00000004660	NA	23	17.0	NA	NA
ENSG00000004700	NA	51	30.0	NA	NA
ENSG00000004766	NA	15	8.0	NA	NA
ENSG00000004777	NA	8	5.0	NA	NA
ENSG00000004799	NA	4	4.0	NA	NA
ENSG00000004864	NA	43	25.0	NA	NA
ENSG00000004897	NA	28	13.0	NA	NA
ENSG00000005020	NA	61	33.0	NA	NA
ENSG00000005059	NA	46	26.0	NA	NA
ENSG00000005075	NA	20	12.0	NA	NA
ENSG00000005100	NA	52	43.0	NA	NA
ENSG00000005108	NA	70	51.0	NA	NA
ENSG00000005156	NA	21	18.0	NA	NA
ENSG00000005187	NA	35	26.0	NA	NA
ENSG00000005189	NA	11	7.0	NA	NA
ENSG00000005194	NA	23	6.0	NA	NA
ENSG00000005206	NA	8	6.0	NA	NA
ENSG00000005379	NA	17	10.0	NA	NA
ENSG00000005421	NA	27	16.0	NA	NA
ENSG00000005436	NA	34	24.0	NA	NA
ENSG00000005469	NA	81	48.0	NA	NA
ENSG00000005471	NA	25	9.0	NA	NA
ENSG00000005483	NA	20	9.0	NA	NA
ENSG00000005700	NA	33	17.0	NA	NA
ENSG00000005801	NA	48	28.0	NA	NA
ENSG00000005882	NA	10	8.0	NA	NA
ENSG00000005884	NA	41	26.0	NA	NA
ENSG00000005955	NA	12	7.0	NA	NA
ENSG00000005981	NA	108	49.0	NA	NA
ENSG00000006007	NA	39	29.0	NA	NA
ENSG00000006016	NA	61	34.0	NA	NA
ENSG00000006042	NA	46	29.0	NA	NA
ENSG00000006071	NA	60	29.0	NA	NA
ENSG00000006114	NA	27	14.0	NA	NA
ENSG00000006118	NA	28	18.0	NA	NA
ENSG00000006125	NA	37	33.0	NA	NA
ENSG00000006128	NA	5	3.0	NA	NA
ENSG00000006282	NA	66	36.0	NA	NA
ENSG00000006283	NA	17	6.0	NA	NA
ENSG00000006327	NA	21	9.0	NA	NA
ENSG00000006432	NA	45	23.0	NA	NA
ENSG00000006459	NA	41	31.0	NA	NA
ENSG00000006468	NA	9	7.0	NA	NA
ENSG00000006530	NA	39	14.0	NA	NA
ENSG00000006555	NA	139	63.0	NA	NA
ENSG00000006576	NA	34	9.0	NA	NA
ENSG00000006607	NA	40	28.0	NA	NA
ENSG00000006611	NA	37	15.0	NA	NA
ENSG00000006625	NA	25	23.0	NA	NA
ENSG00000006634	NA	13	6.0	NA	NA
ENSG00000006695	NA	85	56.0	NA	NA
ENSG00000006715	NA	49	43.0	NA	NA
ENSG00000006740	NA	5	5.0	NA	NA
ENSG00000006744	NA	39	24.0	NA	NA
ENSG00000006747	NA	29	21.0	NA	NA
ENSG00000006837	NA	12	12.0	NA	NA
ENSG00000007001	NA	88	47.0	NA	NA
ENSG00000007047	NA	28	16.0	NA	NA
ENSG00000007062	NA	16	13.0	NA	NA
ENSG00000007080	NA	20	16.0	NA	NA
ENSG00000007129	NA	112	67.0	NA	NA
ENSG00000007168	NA	30	19.0	NA	NA
ENSG00000007171	NA	99	55.0	NA	NA
ENSG00000007174	NA	53	37.0	NA	NA
ENSG00000007255	NA	8	7.0	NA	NA
ENSG00000007264	NA	1	1.0	NA	NA
ENSG00000007341	NA	35	27.0	NA	NA
ENSG00000007372	NA	17	12.0	NA	NA
ENSG00000007402	NA	27	10.0	NA	NA
ENSG00000007516	NA	88	52.0	NA	NA
ENSG00000007541	NA	47	39.0	NA	NA
ENSG00000007923	NA	27	16.0	NA	NA
ENSG00000007933	NA	24	23.0	NA	NA
ENSG00000007944	NA	71	45.0	NA	NA
ENSG00000008018	NA	9	9.0	NA	NA
ENSG00000008083	NA	64	35.0	NA	NA
ENSG00000008118	NA	23	18.0	NA	NA
ENSG00000008128	NA	28	17.0	NA	NA
ENSG00000008130	NA	26	22.0	NA	NA
ENSG00000008226	NA	25	21.0	NA	NA
ENSG00000008256	NA	11	7.0	NA	NA
ENSG00000008277	NA	38	22.0	NA	NA
ENSG00000008283	NA	62	32.0	NA	NA
ENSG00000008324	NA	16	13.0	NA	NA
ENSG00000008382	NA	22	19.0	NA	NA
ENSG00000008394	NA	57	43.0	NA	NA
ENSG00000008405	NA	5	5.0	NA	NA
ENSG00000008513	NA	88	62.0	NA	NA
ENSG00000008516	NA	6	3.0	NA	NA
ENSG00000008517	NA	18	16.0	NA	NA
ENSG00000008710	NA	4	3.0	NA	NA
ENSG00000008838	NA	45	30.0	NA	NA
ENSG00000008952	NA	59	22.0	NA	NA
ENSG00000008988	NA	88	53.0	NA	NA
ENSG00000009307	NA	22	12.0	NA	NA
ENSG00000009335	NA	24	9.0	NA	NA
ENSG00000009413	NA	49	23.0	NA	NA
ENSG00000009709	NA	25	13.0	NA	NA
ENSG00000009830	NA	46	30.0	NA	NA
ENSG00000009844	NA	18	14.0	NA	NA
ENSG00000009950	NA	30	15.0	NA	NA
ENSG00000010017	NA	24	18.0	NA	NA
ENSG00000010030	NA	26	13.0	NA	NA
ENSG00000010072	NA	23	16.0	NA	NA
ENSG00000010165	NA	51	35.0	NA	NA
ENSG00000010219	NA	8	8.0	NA	NA
ENSG00000010270	NA	55	38.0	NA	NA
ENSG00000010282	NA	69	35.0	NA	NA
ENSG00000010292	NA	28	19.0	NA	NA
ENSG00000010295	NA	9	5.0	NA	NA
ENSG00000010310	NA	49	35.0	NA	NA
ENSG00000010318	NA	25	9.0	NA	NA
ENSG00000010319	NA	9	7.0	NA	NA
ENSG00000010322	NA	42	11.0	NA	NA
ENSG00000010327	NA	13	8.0	NA	NA
ENSG00000010361	NA	28	16.0	NA	NA
ENSG00000010438	NA	126	63.0	NA	NA
ENSG00000010539	NA	9	6.0	NA	NA
ENSG00000010610	NA	6	3.0	NA	NA
ENSG00000010626	NA	90	46.0	NA	NA
ENSG00000010704	NA	20	15.0	NA	NA
ENSG00000010803	NA	26	15.0	NA	NA
ENSG00000010810	NA	22	16.0	NA	NA
ENSG00000011021	NA	20	15.0	NA	NA
ENSG00000011028	NA	30	12.0	NA	NA
ENSG00000011052	NA	47	36.0	NA	NA
ENSG00000011083	NA	19	9.0	NA	NA
ENSG00000011105	NA	80	46.0	NA	NA
ENSG00000011114	NA	16	15.0	NA	NA
ENSG00000011143	NA	24	15.0	NA	NA
ENSG00000011198	NA	22	3.0	NA	NA
ENSG00000011258	NA	11	11.0	NA	NA
ENSG00000011260	NA	82	45.0	NA	NA
ENSG00000011275	NA	35	26.0	NA	NA
