gene	gene_name	n_snps_in_model	n_snps_used	pred_perf_r2	pred_perf_pval
ENSG00000000457	ENSG00000000457	8	8.0	0.0185773890419874	0.00319675400565951
ENSG00000000460	ENSG00000000460	102	97.0	0.152255067457041	2.1362149728533698e-18
ENSG00000000938	ENSG00000000938	2	2.0	0.0519236221331709	6.64975910257292e-07
ENSG00000000971	ENSG00000000971	24	20.0	0.0209473234156393	0.00173354118934739
ENSG00000001036	ENSG00000001036	4	4.0	0.016092738126364	0.0061028894011162
ENSG00000001084	ENSG00000001084	2	2.0	0.0543890914249597	3.55685326120103e-07
ENSG00000001460	ENSG00000001460	11	11.0	0.113621555309866	7.609883817867381e-14
ENSG00000001461	ENSG00000001461	27	21.0	0.0278867976776956	0.000293846037395856
ENSG00000001561	ENSG00000001561	20	19.0	0.0821982575902033	2.87678291598204e-10
ENSG00000001617	ENSG00000001617	30	25.0	0.0304869077007215	0.000151730451560247
ENSG00000001626	ENSG00000001626	16	15.0	0.101263652839166	1.99757665398782e-12
ENSG00000001630	ENSG00000001630	44	41.0	0.0488863650989515	1.43622301833101e-06
ENSG00000001631	ENSG00000001631	21	20.0	0.0452057700683819	3.64818760777622e-06
ENSG00000002016	ENSG00000002016	7	7.0	0.218313091470372	1.20019073937624e-26
ENSG00000002587	ENSG00000002587	1	1.0	0.0288999855590535	0.000227083886322931
ENSG00000002745	ENSG00000002745	11	11.0	0.035019485233933	4.80731752247061e-05
ENSG00000002822	ENSG00000002822	15	11.0	0.0566593435840338	1.99794415824529e-07
ENSG00000002919	ENSG00000002919	19	14.0	0.0306075752280567	0.000147152059706178
ENSG00000003056	ENSG00000003056	2	2.0	0.0364214685613801	3.37054222668216e-05
ENSG00000003137	ENSG00000003137	13	11.0	0.0296344717505811	0.000188412053865777
ENSG00000003147	ENSG00000003147	95	92.0	0.0343257873640666	5.7309738639409e-05
ENSG00000003249	ENSG00000003249	18	13.0	0.0553450885819257	2.79010423694263e-07
ENSG00000003393	ENSG00000003393	22	20.0	0.12586286726883	2.8754761118577002e-15
ENSG00000003400	ENSG00000003400	2	2.0	0.0397960083533594	1.43457535740233e-05
ENSG00000003436	ENSG00000003436	21	18.0	0.0202372218405069	0.00208156089338851
ENSG00000003509	ENSG00000003509	11	11.0	0.0125842618504255	0.0154025647862356
ENSG00000003756	ENSG00000003756	16	15.0	0.00868311072195172	0.044375876630115
ENSG00000003987	ENSG00000003987	21	20.0	0.481326560547401	3.81626632336193e-68
ENSG00000003989	ENSG00000003989	48	47.0	0.0850147391439204	1.38758731340305e-10
ENSG00000004059	ENSG00000004059	2	1.0	0.00835004635542242	0.0486757467213494
ENSG00000004139	ENSG00000004139	20	18.0	0.0168538102843174	0.00500305042964841
ENSG00000004142	ENSG00000004142	17	17.0	0.0457160327550517	3.20604625097178e-06
ENSG00000004399	ENSG00000004399	75	70.0	0.0552905079995001	2.8290579259e-07
ENSG00000004468	ENSG00000004468	20	19.0	0.181425602434843	5.81409464934216e-22
ENSG00000004534	ENSG00000004534	58	45.0	0.226385725325483	1.06064990714953e-27
ENSG00000004660	ENSG00000004660	3	2.0	0.008460350958432	0.0472051798994324
ENSG00000004700	ENSG00000004700	16	14.0	0.0945829889262567	1.1505925886344598e-11
