ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"ENSG00000198612.6"	"COPS8"	chr2	+	238002305	238002840	238002732	238002840	237998504	237998637
2	"ENSG00000198612.6"	"COPS8"	chr2	+	238004464	238004527	238004473	238004527	238002732	238002840
3	"ENSG00000163956.6"	"LRPAP1"	chr4	-	3521798	3521956	3521798	3521920	3526633	3526778
4	"ENSG00000080910.7"	"CFHR2"	chr1	+	196919981	196920158	196920029	196920158	196918584	196918779
5	"ENSG00000080910.7"	"CFHR2"	chr1	+	196918584	196918779	196918746	196918779	196912901	196913068
6	"ENSG00000184674.8"	"GSTT1"	chr22	-	24379360	24379511	24379360	24379450	24381699	24381787
7	"ENSG00000100330.11"	"MTMR3"	chr22	+	30374413	30374520	30374430	30374520	30366964	30367051
8	"ENSG00000100325.10"	"ASCC2"	chr22	-	30218323	30218453	30218323	30218384	30221075	30221246
9	"ENSG00000197323.6"	"TRIM33"	chr1	-	114940229	114940612	114940229	114940482	114942078	114942231
10	"ENSG00000171163.11"	"ZNF692"	chr1	-	249149923	249150145	249149923	249150142	249150486	249150621
11	"ENSG00000171163.11"	"ZNF692"	chr1	-	249152026	249152216	249152026	249152058	249152329	249152520
12	"ENSG00000171163.11"	"ZNF692"	chr1	-	249152026	249152233	249152026	249152058	249152329	249152520
13	"ENSG00000171163.11"	"ZNF692"	chr1	-	249152026	249152233	249152026	249152216	249152329	249152520
14	"ENSG00000171163.11"	"ZNF692"	chr1	-	249151432	249151696	249151432	249151635	249152026	249152058
15	"ENSG00000168538.11"	"TRAPPC11"	chr4	+	184627939	184628093	184627959	184628093	184626131	184626223
16	"ENSG00000168538.11"	"TRAPPC11"	chr4	+	184589114	184589270	184589155	184589270	184588212	184588283
17	"ENSG00000243910.3"	"TUBA4B"	chr2	+	220134950	220135057	220134955	220135057	220130944	220131288
18	"ENSG00000243910.3"	"TUBA4B"	chr2	+	220130944	220131288	220131242	220131288	220117964	220118141
19	"ENSG00000061273.13"	"HDAC7"	chr12	-	48191166	48191282	48191166	48191210	48191890	48192002
20	"ENSG00000061273.13"	"HDAC7"	chr12	-	48185653	48186452	48185653	48185787	48187151	48187371
21	"ENSG00000061273.13"	"HDAC7"	chr12	-	48189369	48189550	48189369	48189393	48189688	48189799
22	"ENSG00000106701.7"	"FSD1L"	chr9	+	108296773	108296874	108296776	108296874	108275087	108275217
23	"ENSG00000106701.7"	"FSD1L"	chr9	+	108296773	108296874	108296776	108296874	108275879	108275912
24	"ENSG00000168970.16"	"JMJD7-PLA2G4B"	chr15	+	42128249	42128441	42128345	42128441	42127785	42127842
25	"ENSG00000158089.10"	"GALNT14"	chr2	-	31146984	31147163	31146984	31147129	31147605	31147689
26	"ENSG00000101336.8"	"HCK"	chr20	+	30661518	30661621	30661521	30661621	30661121	30661164
27	"ENSG00000135903.14"	"PAX3"	chr2	-	223160246	223160376	223160246	223160373	223161696	223161932
28	"ENSG00000134571.6"	"MYBPC3"	chr11	-	47358941	47359130	47358941	47359062	47359240	47359345
29	"ENSG00000153113.19"	"CAST"	chr5	+	96062457	96062563	96062497	96062563	96058342	96058402
30	"ENSG00000153113.19"	"CAST"	chr5	+	96065293	96065429	96065315	96065429	96064856	96064913
31	"ENSG00000153113.19"	"CAST"	chr5	+	96100924	96101029	96100927	96101029	96097977	96098076
32	"ENSG00000105819.9"	"PMPCB"	chr7	+	102940624	102940754	102940633	102940754	102939889	102939980
33	"ENSG00000105819.9"	"PMPCB"	chr7	+	102944288	102944487	102944432	102944487	102940624	102940754
34	"ENSG00000111674.4"	"ENO2"	chr12	+	7024981	7025081	7024984	7025081	7023752	7023823
35	"ENSG00000168385.13"	"SEPT2"	chr2	+	242265381	242265528	242265407	242265528	242263630	242263656
36	"ENSG00000168385.13"	"SEPT2"	chr2	+	242275373	242275513	242275389	242275513	242274540	242274627
37	"ENSG00000154957.9"	"ZNF18"	chr17	-	11886613	11886724	11886613	11886721	11887429	11887514
38	"ENSG00000154957.9"	"ZNF18"	chr17	-	11887429	11887514	11887429	11887508	11893778	11893867
39	"ENSG00000128000.11"	"ZNF780B"	chr19	-	40553312	40553380	40553312	40553377	40554576	40554703
40	"ENSG00000123329.13"	"ARHGAP9"	chr12	-	57870372	57870746	57870372	57870434	57870938	57871052
41	"ENSG00000123329.13"	"ARHGAP9"	chr12	-	57867385	57867491	57867385	57867474	57867824	57867959
42	"ENSG00000110321.11"	"EIF4G2"	chr11	-	10827453	10827594	10827453	10827557	10828801	10828928
43	"ENSG00000110321.11"	"EIF4G2"	chr11	-	10821098	10821303	10821098	10821156	10821636	10821895
44	"ENSG00000139865.12"	"TTC6"	chr14	+	38165899	38166040	38165921	38166040	38151962	38152169
45	"ENSG00000254413.4"	"CHKB-CPT1B"	chr22	-	51009803	51009968	51009803	51009962	51010434	51010551
46	"ENSG00000254413.4"	"CHKB-CPT1B"	chr22	-	51014964	51015066	51014964	51015022	51015285	51015463
47	"ENSG00000130600.11"	"H19"	chr11	-	2017105	2017228	2017105	2017171	2017308	2017421
48	"ENSG00000130600.11"	"H19"	chr11	-	2016405	2017024	2016405	2017018	2017105	2017228
49	"ENSG00000204604.5"	"ZNF468"	chr19	-	53357124	53357379	53357124	53357360	53357510	53357598
50	"ENSG00000147041.7"	"SYTL5"	chrX	+	37892683	37893261	37892786	37893261	37865834	37865921
51	"ENSG00000146426.13"	"TIAM2"	chr6	+	155577593	155578324	155577617	155578324	155575552	155575707
52	"ENSG00000146426.13"	"TIAM2"	chr6	+	155561663	155561843	155561692	155561843	155538099	155538224
53	"ENSG00000011275.14"	"RNF216"	chr7	-	5778906	5779252	5778906	5778983	5780603	5781275
54	"ENSG00000011275.14"	"RNF216"	chr7	-	5780603	5781446	5780603	5781275	5792476	5792610
55	"ENSG00000170298.11"	"LGALS9B"	chr17	-	20355663	20355708	20355663	20355705	20356329	20356380
56	"ENSG00000178752.11"	"FAM132B"	chr2	+	239076512	239077516	239077011	239077516	239074246	239074325
57	"ENSG00000168216.6"	"LMBRD1"	chr6	-	70410656	70410761	70410656	70410694	70411334	70411437
58	"ENSG00000136478.3"	"TEX2"	chr17	-	62265527	62265796	62265527	62265775	62270918	62271249
59	"ENSG00000136478.3"	"TEX2"	chr17	-	62232201	62232327	62232201	62232321	62238160	62238293
60	"ENSG00000226674.4"	"TEX41"	chr2	+	145932453	145932559	145932456	145932559	145929564	145929698
61	"ENSG00000147642.12"	"SYBU"	chr8	-	110656864	110656987	110656864	110656945	110658112	110658233
62	"ENSG00000147642.12"	"SYBU"	chr8	-	110654956	110655161	110654956	110655158	110656864	110656945
63	"ENSG00000147642.12"	"SYBU"	chr8	-	110654956	110655176	110654956	110655161	110656864	110656945
64	"ENSG00000147642.12"	"SYBU"	chr8	-	110654956	110655176	110654956	110655158	110656864	110656945
65	"ENSG00000196323.7"	"ZBTB44"	chr11	-	130108338	130108502	130108338	130108451	130109706	130109791
66	"ENSG00000196323.7"	"ZBTB44"	chr11	-	130108338	130108502	130108338	130108448	130109706	130109791
67	"ENSG00000196323.7"	"ZBTB44"	chr11	-	130108338	130108451	130108338	130108448	130109706	130109791
68	"ENSG00000204525.10"	"HLA-C"	chr6	-	31238849	31239125	31238849	31239108	31239375	31239645
69	"ENSG00000204525.10"	"HLA-C"	chr6	-	31237269	31237320	31237269	31237302	31237742	31237862
70	"ENSG00000137474.15"	"MYO7A"	chr11	+	76910579	76910863	76910693	76910863	76909539	76909666
71	"ENSG00000137474.15"	"MYO7A"	chr11	+	76912492	76912683	76912495	76912683	76910693	76910863
72	"ENSG00000137474.15"	"MYO7A"	chr11	+	76916506	76916662	76916591	76916662	76915120	76915274
73	"ENSG00000137474.15"	"MYO7A"	chr11	+	76918040	76918447	76918333	76918447	76917141	76917247
74	"ENSG00000254505.4"	"CHMP4A"	chr14	-	24680616	24680798	24680616	24680718	24680885	24681035
75	"ENSG00000187912.7"	"CLEC17A"	chr19	+	14710465	14710624	14710528	14710624	14707910	14707973
76	"ENSG00000163608.10"	"C3orf17"	chr3	-	112729891	112730253	112729891	112730012	112731580	112731658
77	"ENSG00000163608.10"	"C3orf17"	chr3	-	112732118	112732250	112732118	112732208	112732799	112732879
78	"ENSG00000145029.7"	"NICN1"	chr3	-	49462381	49462579	49462381	49462486	49462799	49462871
79	"ENSG00000175066.11"	"GK5"	chr3	-	141896323	141896447	141896323	141896418	141900302	141900407
80	"ENSG00000162650.11"	"ATXN7L2"	chr1	+	110030139	110030426	110030235	110030426	110029628	110029839
81	"ENSG00000100429.13"	"HDAC10"	chr22	-	50686653	50686901	50686653	50686721	50687090	50687180
82	"ENSG00000100429.13"	"HDAC10"	chr22	-	50687531	50687627	50687531	50687597	50687756	50687883
83	"ENSG00000100429.13"	"HDAC10"	chr22	-	50687259	50687319	50687259	50687288	50687531	50687597
84	"ENSG00000100429.13"	"HDAC10"	chr22	-	50688063	50688148	50688063	50688132	50688288	50688393
85	"ENSG00000100429.13"	"HDAC10"	chr22	-	50687756	50687945	50687756	50687883	50688063	50688132
86	"ENSG00000166428.8"	"PLD4"	chr14	+	105394009	105394203	105394015	105394203	105393477	105393567
87	"ENSG00000128438.6"	"TBC1D27"	chr17	-	16830182	16830279	16830182	16830267	16830991	16831110
88	"ENSG00000198183.7"	"BPIFA1"	chr20	+	31830912	31831115	31830967	31831115	31830292	31830367
89	"ENSG00000198183.7"	"BPIFA1"	chr20	+	31830928	31831115	31830967	31831115	31830292	31830367
90	"ENSG00000198183.7"	"BPIFA1"	chr20	+	31830912	31831115	31830928	31831115	31830292	31830367
91	"ENSG00000140465.9"	"CYP1A1"	chr15	-	75013931	75014410	75013931	75014058	75014613	75014682
92	"ENSG00000088881.16"	"EBF4"	chr20	+	2739481	2739630	2739554	2739630	2736272	2736470
93	"ENSG00000088881.16"	"EBF4"	chr20	+	2736272	2736470	2736388	2736470	2733002	2733191
94	"ENSG00000134258.12"	"VTCN1"	chr1	-	117699195	117699633	117699195	117699543	117712728	117712793
95	"ENSG00000166793.6"	"YPEL4"	chr11	-	57413769	57414267	57413769	57413878	57414439	57414764
96	"ENSG00000118777.6"	"ABCG2"	chr4	-	89016671	89016761	89016671	89016751	89018604	89018759
97	"ENSG00000183751.10"	"TBL3"	chr16	+	2024181	2024293	2024197	2024293	2024056	2024108
98	"ENSG00000256022.1"	"RP11-526P6.1"	chr12	-	128118640	128119313	128118640	128119291	128119902	128119947
99	"ENSG00000100227.13"	"POLDIP3"	chr22	-	42991542	42991620	42991542	42991609	42992191	42992371
100	"ENSG00000204120.10"	"GIGYF2"	chr2	+	233655967	233656156	233655970	233656156	233655717	233655880
101	"ENSG00000204120.10"	"GIGYF2"	chr2	+	233708721	233708965	233708755	233708965	233704558	233704681
102	"ENSG00000204120.10"	"GIGYF2"	chr2	+	233655407	233655625	233655425	233655625	233651859	233652039
103	"ENSG00000157578.9"	"LCA5L"	chr21	-	40807345	40807499	40807345	40807468	40816060	40816127
104	"ENSG00000157578.9"	"LCA5L"	chr21	-	40801056	40801320	40801056	40801137	40807345	40807499
105	"ENSG00000102854.10"	"MSLN"	chr16	+	816643	816810	816667	816810	816334	816490
106	"ENSG00000113758.9"	"DBN1"	chr5	-	176895108	176895221	176895108	176895218	176895844	176895900
107	"ENSG00000163803.8"	"PLB1"	chr2	+	28761152	28761248	28761185	28761248	28754974	28755061
108	"ENSG00000173598.9"	"NUDT4"	chr12	+	93792543	93792631	93792546	93792631	93789264	93789309
109	"ENSG00000117407.12"	"ARTN"	chr1	+	44401261	44401388	44401326	44401388	44399783	44399932
