ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000233803.9"	"TSPY4"	chrY	+	9337509	9338013	9337509	9337596	9337875	9338013
2	"ENSG00000160223.17"	"ICOSLG"	chr21	-	44226833	44230089	44226833	44229044	44230053	44230089
3	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161231245	161230812	161230933	161231116	161231245
4	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161231245	161230812	161230918	161231116	161231245
5	"ENSG00000120729.10"	"MYOT"	chr5	+	137870440	137871007	137870440	137870525	137870876	137871007
6	"ENSG00000225180.8"	"PVALEF"	chr17	+	81181558	81182081	81181558	81181694	81181965	81182081
7	"ENSG00000100359.21"	"SGSM3"	chr22	+	40408932	40409372	40408932	40409018	40409249	40409372
8	"ENSG00000100359.21"	"SGSM3"	chr22	+	40408932	40409372	40408932	40409018	40409339	40409372
9	"ENSG00000100359.21"	"SGSM3"	chr22	+	40407016	40407328	40407016	40407071	40407200	40407328
10	"ENSG00000100359.21"	"SGSM3"	chr22	+	40407200	40407568	40407200	40407328	40407412	40407568
11	"ENSG00000100359.21"	"SGSM3"	chr22	+	40408793	40409372	40408793	40408842	40408932	40409372
12	"ENSG00000165863.17"	"C10orf82"	chr10	-	116664760	116665826	116664760	116664947	116665607	116665826
13	"ENSG00000130717.13"	"UCK1"	chr9	-	131528943	131529270	131528943	131529038	131529127	131529270
14	"ENSG00000135253.14"	"KCP"	chr7	-	128878557	128879623	128878557	128878722	128879521	128879623
15	"ENSG00000135253.14"	"KCP"	chr7	-	128893805	128894055	128893805	128893899	128893975	128894055
16	"ENSG00000160953.16"	"PWWP3A"	chr19	+	1357008	1358464	1357008	1357094	1358393	1358464
17	"ENSG00000226287.8"	"TMEM191A"	chr22	+	20703632	20704040	20703632	20703751	20703967	20704040
18	"ENSG00000226287.8"	"TMEM191A"	chr22	+	20703632	20704040	20703632	20703692	20703967	20704040
19	"ENSG00000204256.13"	"BRD2"	chr6	+	32976561	32977570	32976561	32976936	32977441	32977570
20	"ENSG00000204256.13"	"BRD2"	chr6	+	32976561	32977570	32976561	32976936	32977259	32977570
21	"ENSG00000169715.15"	"MT1E"	chr16	+	56626465	56627112	56626465	56626531	56626879	56627112
22	"ENSG00000169598.15"	"DFFB"	chr1	+	3883506	3885429	3883506	3883800	3885037	3885429
23	"ENSG00000234745.11"	"HLA-B"	chr6	-	31356166	31356957	31356166	31356442	31356687	31356957
24	"ENSG00000171703.17"	"TCEA2"	chr20	+	64069764	64070414	64069764	64069821	64070259	64070414
25	"ENSG00000171703.17"	"TCEA2"	chr20	+	64071869	64072346	64071869	64071941	64072171	64072346
26	"ENSG00000171703.17"	"TCEA2"	chr20	+	64069764	64070635	64069764	64070414	64070488	64070635
27	"ENSG00000198276.16"	"UCKL1"	chr20	-	63945804	63946267	63945804	63945975	63946160	63946267
28	"ENSG00000198276.16"	"UCKL1"	chr20	-	63940949	63941208	63940949	63941043	63941109	63941208
29	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70048706	70051305	70048706	70050268	70051202	70051305
30	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70085815	70086273	70085815	70085903	70086054	70086273
31	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70085815	70086273	70085815	70085903	70086123	70086273
32	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69996685	69996888	69996685	69996777	69996857	69996888
33	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70049195	70051305	70049195	70050252	70051202	70051305
34	"ENSG00000103168.16"	"TAF1C"	chr16	-	84181745	84182058	84181745	84181863	84181941	84182058
35	"ENSG00000103168.16"	"TAF1C"	chr16	-	84183075	84183328	84183075	84183149	84183243	84183328
36	"ENSG00000103168.16"	"TAF1C"	chr16	-	84180169	84181186	84180169	84180344	84181042	84181186
37	"ENSG00000103168.16"	"TAF1C"	chr16	-	84181327	84181663	84181327	84181463	84181591	84181663
38	"ENSG00000111642.15"	"CHD4"	chr12	-	6578028	6578546	6578028	6578117	6578408	6578546
39	"ENSG00000111642.15"	"CHD4"	chr12	-	6578028	6578546	6578028	6578117	6578337	6578546
40	"ENSG00000111642.15"	"CHD4"	chr12	-	6578028	6578546	6578028	6578135	6578408	6578546
41	"ENSG00000111642.15"	"CHD4"	chr12	-	6578028	6578546	6578028	6578137	6578408	6578546
42	"ENSG00000111642.15"	"CHD4"	chr12	-	6583026	6583378	6583026	6583113	6583197	6583378
43	"ENSG00000111642.15"	"CHD4"	chr12	-	6583026	6583378	6583026	6583113	6583195	6583378
44	"ENSG00000111642.15"	"CHD4"	chr12	-	6587383	6587949	6587383	6587559	6587660	6587949
45	"ENSG00000111642.15"	"CHD4"	chr12	-	6587383	6587949	6587383	6587559	6587711	6587949
46	"ENSG00000005700.15"	"IBTK"	chr6	-	82191072	82191879	82191072	82191216	82191786	82191879
47	"ENSG00000100121.13"	"GGTLC2"	chr22	+	22646982	22647290	22646982	22647038	22647140	22647290
48	"ENSG00000100121.13"	"GGTLC2"	chr22	+	22646982	22647290	22646982	22647095	22647176	22647290
49	"ENSG00000173171.14"	"MTX1"	chr1	+	155210547	155212219	155210547	155210627	155212126	155212219
50	"ENSG00000048162.20"	"NOP16"	chr5	-	176388234	176388598	176388234	176388343	176388432	176388598
51	"ENSG00000241322.10"	"CDRT1"	chr17	-	15613614	15614033	15613614	15613742	15613832	15614033
52	"ENSG00000148600.15"	"CDHR1"	chr10	+	84219078	84219621	84219078	84219092	84219343	84219621
53	"ENSG00000154832.15"	"CXXC1"	chr18	-	50285748	50286257	50285748	50285928	50286021	50286257
54	"ENSG00000074582.14"	"BCS1L"	chr2	+	218662196	218662679	218662196	218662260	218662509	218662679
55	"ENSG00000074582.14"	"BCS1L"	chr2	+	218662196	218662679	218662196	218662260	218662514	218662679
56	"ENSG00000185920.16"	"PTCH1"	chr9	-	95443411	95447451	95443411	95446391	95446910	95447451
57	"ENSG00000185920.16"	"PTCH1"	chr9	-	95449840	95453620	95449840	95449940	95453477	95453620
58	"ENSG00000236753.7"	"MKLN1-AS"	chr7	-	131326805	131327746	131326805	131326895	131327614	131327746
59	"ENSG00000260596.5"	"DUX4"	chr4	+	190173773	190175284	190173773	190174250	190175192	190175284
60	"ENSG00000260596.5"	"DUX4"	chr4	+	190173773	190175284	190173773	190175056	190175192	190175284
61	"ENSG00000283486.2"	"FAM95C"	chr9	-	38542311	38543055	38542311	38542589	38542947	38543055
62	"ENSG00000283486.2"	"FAM95C"	chr9	-	38540568	38541562	38540568	38540849	38541455	38541562
63	"ENSG00000109113.20"	"RAB34"	chr17	-	28715640	28715901	28715640	28715705	28715799	28715901
64	"ENSG00000137135.18"	"ARHGEF39"	chr9	-	35660093	35662002	35660093	35660967	35661712	35662002
65	"ENSG00000007516.13"	"BAIAP3"	chr16	+	1344021	1344317	1344021	1344146	1344226	1344317
66	"ENSG00000129951.18"	"PLPPR3"	chr19	-	814433	814749	814433	814571	814691	814749
67	"ENSG00000129951.18"	"PLPPR3"	chr19	-	814433	814749	814433	814607	814691	814749
68	"ENSG00000156873.16"	"PHKG2"	chr16	+	30751105	30751603	30751105	30751281	30751548	30751603
69	"ENSG00000156873.16"	"PHKG2"	chr16	+	30751105	30751603	30751105	30751217	30751548	30751603
70	"ENSG00000140265.12"	"ZSCAN29"	chr15	-	43369595	43370062	43369595	43369602	43369605	43370062
71	"ENSG00000132361.17"	"CLUH"	chr17	-	2693899	2694276	2693899	2694039	2694122	2694276
72	"ENSG00000100888.14"	"CHD8"	chr14	-	21400412	21401071	21400412	21400612	21400874	21401071
73	"ENSG00000100888.14"	"CHD8"	chr14	-	21430800	21431858	21430800	21431643	21431810	21431858
74	"ENSG00000100888.14"	"CHD8"	chr14	-	21428963	21431858	21428963	21429335	21430800	21431858
75	"ENSG00000100888.14"	"CHD8"	chr14	-	21428963	21431858	21428963	21429335	21431810	21431858
76	"ENSG00000100888.14"	"CHD8"	chr14	-	21430800	21431858	21430800	21431724	21431810	21431858
77	"ENSG00000214087.8"	"ARL16"	chr17	-	81682033	81683594	81682033	81683126	81683535	81683594
78	"ENSG00000214087.8"	"ARL16"	chr17	-	81682033	81683126	81682033	81682149	81683012	81683126
79	"ENSG00000214087.8"	"ARL16"	chr17	-	81682033	81683126	81682033	81682675	81683012	81683126
80	"ENSG00000214087.8"	"ARL16"	chr17	-	81682033	81682675	81682033	81682149	81682490	81682675
81	"ENSG00000214087.8"	"ARL16"	chr17	-	81682033	81682675	81682033	81682149	81682442	81682675
82	"ENSG00000170892.12"	"TSEN34"	chr19	+	54193174	54194536	54193174	54193318	54193621	54194536
83	"ENSG00000204348.10"	"DXO"	chr6	-	31970342	31970825	31970342	31970478	31970605	31970825
84	"ENSG00000204348.10"	"DXO"	chr6	-	31970342	31970825	31970342	31970378	31970592	31970825
85	"ENSG00000204348.10"	"DXO"	chr6	-	31970605	31971147	31970605	31970825	31970911	31971147
86	"ENSG00000204348.10"	"DXO"	chr6	-	31970605	31971147	31970605	31970752	31970911	31971147
87	"ENSG00000160796.18"	"NBEAL2"	chr3	+	47007240	47007697	47007240	47007350	47007524	47007697
88	"ENSG00000102316.17"	"MAGED2"	chrX	+	54815247	54816007	54815247	54815690	54815880	54816007
89	"ENSG00000102316.17"	"MAGED2"	chrX	+	54809721	54810213	54809721	54809817	54809871	54810213
90	"ENSG00000102316.17"	"MAGED2"	chrX	+	54810820	54811129	54810820	54810904	54811045	54811129
91	"ENSG00000102316.17"	"MAGED2"	chrX	+	54809721	54810213	54809721	54809808	54809922	54810213
92	"ENSG00000167257.11"	"RNF214"	chr11	+	117281893	117282270	117281893	117281911	117282215	117282270
93	"ENSG00000167257.11"	"RNF214"	chr11	+	117238600	117239860	117238600	117238646	117239800	117239860
94	"ENSG00000167257.11"	"RNF214"	chr11	+	117238600	117239860	117238600	117239111	117239800	117239860
95	"ENSG00000158578.21"	"ALAS2"	chrX	-	55020319	55020504	55020319	55020329	55020445	55020504
96	"ENSG00000173531.15"	"MST1"	chr3	-	49686061	49686481	49686061	49686192	49686312	49686481
97	"ENSG00000173531.15"	"MST1"	chr3	-	49687148	49687478	49687148	49687285	49687363	49687478
98	"ENSG00000173531.15"	"MST1"	chr3	-	49687148	49687668	49687148	49687285	49687555	49687668
99	"ENSG00000173531.15"	"MST1"	chr3	-	49687148	49687668	49687148	49687478	49687555	49687668
100	"ENSG00000248872.2"	"LINC02431"	chr4	+	171040607	171040834	171040607	171040695	171040787	171040834
101	"ENSG00000258791.9"	"LINC00520"	chr14	-	55793045	55793456	55793045	55793110	55793367	55793456
102	"ENSG00000143369.15"	"ECM1"	chr1	+	150509660	150510002	150509660	150509762	150509921	150510002
103	"ENSG00000143369.15"	"ECM1"	chr1	+	150509660	150510002	150509660	150509756	150509834	150510002
104	"ENSG00000128284.19"	"APOL3"	chr22	-	36149045	36149371	36149045	36149142	36149258	36149371
105	"ENSG00000128284.19"	"APOL3"	chr22	-	36145472	36145599	36145472	36145499	36145576	36145599
106	"ENSG00000054967.13"	"RELT"	chr11	+	73394476	73395285	73394476	73394734	73395086	73395285
107	"ENSG00000054967.13"	"RELT"	chr11	+	73394235	73394734	73394235	73394317	73394476	73394734
108	"ENSG00000176798.2"	"OR51L1"	chr11	+	5002570	5005536	5002570	5003800	5005229	5005536
109	"ENSG00000197948.11"	"FCHSD1"	chr5	-	141646086	141646722	141646086	141646191	141646602	141646722
110	"ENSG00000160813.7"	"PPP1R35"	chr7	-	100435630	100436064	100435630	100435767	100435847	100436064
111	"ENSG00000100151.16"	"PICK1"	chr22	+	38073772	38074451	38073772	38073823	38074306	38074451
112	"ENSG00000173486.13"	"FKBP2"	chr11	+	64243198	64243497	64243198	64243311	64243450	64243497
113	"ENSG00000166908.18"	"PIP4K2C"	chr12	+	57601525	57603418	57601525	57601636	57601925	57603418
114	"ENSG00000175676.15"	"GOLGA8DP"	chr15	+	23161094	23161454	23161094	23161133	23161406	23161454
115	"ENSG00000115226.10"	"FNDC4"	chr2	-	27493929	27494466	27493929	27494134	27494350	27494466
116	"ENSG00000162300.13"	"ZFPL1"	chr11	+	65084241	65084800	65084241	65084378	65084690	65084800
117	"ENSG00000162300.13"	"ZFPL1"	chr11	+	65084241	65084800	65084241	65084360	65084690	65084800
118	"ENSG00000162300.13"	"ZFPL1"	chr11	+	65085114	65086608	65085114	65085314	65086414	65086608
119	"ENSG00000162300.13"	"ZFPL1"	chr11	+	65085114	65086608	65085114	65085226	65086414	65086608
120	"ENSG00000011600.12"	"TYROBP"	chr19	-	35907445	35907762	35907445	35907580	35907729	35907762
121	"ENSG00000123384.14"	"LRP1"	chr12	+	57204626	57205249	57204626	57204749	57205108	57205249
122	"ENSG00000123384.14"	"LRP1"	chr12	+	57208037	57208817	57208037	57208216	57208710	57208817
123	"ENSG00000136960.12"	"ENPP2"	chr8	-	119570704	119572250	119570704	119570841	119572175	119572250
124	"ENSG00000149452.16"	"SLC22A8"	chr11	-	62993236	62993627	62993236	62993336	62993423	62993627
125	"ENSG00000143258.16"	"USP21"	chr1	+	161164533	161164942	161164533	161164612	161164834	161164942
126	"ENSG00000114423.22"	"CBLB"	chr3	-	105680991	105681818	105680991	105681610	105681723	105681818
127	"ENSG00000250799.10"	"PRODH2"	chr19	-	35812133	35812556	35812133	35812272	35812359	35812556
128	"ENSG00000158270.12"	"COLEC12"	chr18	-	333006	335230	333006	333143	334741	335230
129	"ENSG00000260807.7"	"CEROX1"	chr16	-	975760	977029	975760	976400	976777	977029
130	"ENSG00000260807.7"	"CEROX1"	chr16	-	975760	976400	975760	975995	976326	976400
131	"ENSG00000204949.9"	"FAM83A-AS1"	chr8	-	123201171	123201982	123201171	123201454	123201643	123201982
132	"ENSG00000148334.15"	"PTGES2"	chr9	-	128125243	128125441	128125243	128125283	128125375	128125441
133	"ENSG00000148334.15"	"PTGES2"	chr9	-	128122361	128123134	128122361	128122646	128122933	128123134
134	"ENSG00000148334.15"	"PTGES2"	chr9	-	128122361	128123134	128122361	128122479	128122933	128123134
135	"ENSG00000137101.13"	"CD72"	chr9	-	35615942	35616689	35615942	35616278	35616599	35616689
136	"ENSG00000137101.13"	"CD72"	chr9	-	35615942	35616689	35615942	35616386	35616599	35616689
137	"ENSG00000105325.14"	"FZR1"	chr19	+	3526119	3526386	3526119	3526183	3526258	3526386
138	"ENSG00000151835.16"	"SACS"	chr13	-	23328829	23341690	23328829	23329484	23341444	23341690
139	"ENSG00000160221.18"	"GATD3A"	chr21	+	44144820	44145723	44144820	44144916	44145570	44145723
140	"ENSG00000095066.11"	"HOOK2"	chr19	-	12774668	12774897	12774668	12774741	12774811	12774897
141	"ENSG00000186827.11"	"TNFRSF4"	chr1	-	1211339	1211832	1211339	1211625	1211703	1211832
142	"ENSG00000186827.11"	"TNFRSF4"	chr1	-	1212991	1213785	1212991	1213093	1213662	1213785
143	"ENSG00000216490.4"	"IFI30"	chr19	+	18177139	18177764	18177139	18177292	18177710	18177764
144	"ENSG00000270765.5"	"GAS2L2"	chr17	-	35750076	35750318	35750076	35750106	35750153	35750318
145	"ENSG00000270765.5"	"GAS2L2"	chr17	-	35750076	35750318	35750076	35750106	35750154	35750318
146	"ENSG00000143418.19"	"CERS2"	chr1	-	150967391	150967714	150967391	150967484	150967663	150967714
147	"ENSG00000143418.19"	"CERS2"	chr1	-	150966755	150967202	150966755	150966862	150967073	150967202
148	"ENSG00000183401.12"	"CCDC159"	chr19	+	11353450	11353874	11353450	11353572	11353791	11353874
149	"ENSG00000226741.2"	"LINC02554"	chr22	+	27316803	27317456	27316803	27317011	27317137	27317456
150	"ENSG00000245060.8"	"LINC00847"	chr5	+	180834311	180835726	180834311	180835002	180835421	180835726
151	"ENSG00000130294.16"	"KIF1A"	chr2	-	240725270	240726940	240725270	240725404	240726825	240726940
152	"ENSG00000090372.15"	"STRN4"	chr19	-	46721985	46722340	46721985	46722072	46722241	46722340
153	"ENSG00000090316.16"	"MAEA"	chr4	+	1336860	1338617	1336860	1336994	1338425	1338617
154	"ENSG00000090316.16"	"MAEA"	chr4	+	1336860	1338617	1336860	1336994	1338421	1338617
155	"ENSG00000090316.16"	"MAEA"	chr4	+	1338421	1340136	1338421	1338617	1339073	1340136
156	"ENSG00000144802.11"	"NFKBIZ"	chr3	+	101853090	101853863	101853090	101853234	101853600	101853863
157	"ENSG00000131435.13"	"PDLIM4"	chr5	+	132271302	132271908	132271302	132271466	132271790	132271908
158	"ENSG00000170421.12"	"KRT8"	chr12	-	52900587	52901219	52900587	52900683	52901158	52901219
159	"ENSG00000170421.12"	"KRT8"	chr12	-	52900587	52902072	52900587	52901219	52901863	52902072
160	"ENSG00000110002.16"	"VWA5A"	chr11	+	124115449	124116680	124115449	124115482	124116565	124116680
161	"ENSG00000147536.12"	"GINS4"	chr8	+	41541808	41545030	41541808	41541899	41541990	41545030
162	"ENSG00000214174.8"	"AMZ2P1"	chr17	-	64972753	64973517	64972753	64972927	64973241	64973517
163	"ENSG00000125089.17"	"SH3TC1"	chr4	+	8236277	8237670	8236277	8236428	8237473	8237670
164	"ENSG00000125089.17"	"SH3TC1"	chr4	+	8235432	8237670	8235432	8235555	8237473	8237670
165	"ENSG00000125089.17"	"SH3TC1"	chr4	+	8235432	8237670	8235432	8235555	8236277	8237670
166	"ENSG00000167978.17"	"SRRM2"	chr16	+	2757471	2757945	2757471	2757579	2757780	2757945
167	"ENSG00000167978.17"	"SRRM2"	chr16	+	2770857	2771410	2770857	2771049	2771368	2771410
168	"ENSG00000120833.14"	"SOCS2"	chr12	+	93572684	93576206	93572684	93573036	93574721	93576206
169	"ENSG00000198590.12"	"C3orf35"	chr3	+	37417018	37418101	37417018	37417142	37417252	37418101
170	"ENSG00000172717.16"	"FAM71D"	chr14	+	67208201	67208449	67208201	67208250	67208316	67208449
171	"ENSG00000175550.8"	"DRAP1"	chr11	+	65919779	65920041	65919779	65919852	65919947	65920041
172	"ENSG00000123473.15"	"STIL"	chr1	-	47299904	47300152	47299904	47299968	47300109	47300152
173	"ENSG00000105393.16"	"BABAM1"	chr19	+	17268793	17269091	17268793	17268938	17269041	17269091
174	"ENSG00000101365.21"	"IDH3B"	chr20	-	2658394	2658837	2658394	2658522	2658637	2658837
175	"ENSG00000101365.21"	"IDH3B"	chr20	-	2658394	2658837	2658394	2658522	2658758	2658837
176	"ENSG00000101365.21"	"IDH3B"	chr20	-	2659698	2660176	2659698	2659793	2660029	2660176
177	"ENSG00000101365.21"	"IDH3B"	chr20	-	2660456	2660829	2660456	2660590	2660696	2660829
178	"ENSG00000101365.21"	"IDH3B"	chr20	-	2659698	2660176	2659698	2659793	2660067	2660176
179	"ENSG00000171453.20"	"POLR1C"	chr6	+	43519705	43520185	43519705	43519838	43520065	43520185
180	"ENSG00000171453.20"	"POLR1C"	chr6	+	43519705	43520185	43519705	43519905	43520065	43520185
181	"ENSG00000171453.20"	"POLR1C"	chr6	+	43519705	43520427	43519705	43520185	43520274	43520427
182	"ENSG00000156508.18"	"EEF1A1"	chr6	-	73518931	73519516	73518931	73519228	73519336	73519516
183	"ENSG00000156508.18"	"EEF1A1"	chr6	-	73518931	73519228	73518931	73519064	73519127	73519228
184	"ENSG00000156508.18"	"EEF1A1"	chr6	-	73518029	73518610	73518029	73518264	73518353	73518610
185	"ENSG00000260923.7"	"LINC02193"	chr16	+	90222243	90222673	90222243	90222292	90222385	90222673
