ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000178665.10"	"ZNF713"	chr7	+	55985734	55985990	55980327	55980416	55990854	55991046
2	"ENSG00000198612.6"	"COPS8"	chr2	+	238002305	238002840	237998504	237998637	238004464	238004524
3	"ENSG00000198612.6"	"COPS8"	chr2	+	237995374	237995439	237994524	237994685	237995769	237995840
4	"ENSG00000198612.6"	"COPS8"	chr2	+	237996106	237996206	237995769	237995840	237997247	237997296
5	"ENSG00000198612.6"	"COPS8"	chr2	+	238002732	238002840	237998504	237998637	238004464	238004527
6	"ENSG00000177414.9"	"UBE2U"	chr1	+	64698243	64698332	64686541	64686590	64707334	64707416
7	"ENSG00000126457.16"	"PRMT1"	chr19	+	50183128	50183182	50180528	50180573	50183743	50183845
8	"ENSG00000126457.16"	"PRMT1"	chr19	+	50179602	50179696	50179153	50179517	50183743	50183845
9	"ENSG00000249590.3"	"RP4-539M6.19"	chr22	+	30812222	30812392	30806584	30806668	30824448	30824977
10	"ENSG00000176148.11"	"TCP11L1"	chr11	+	33078133	33078269	33076138	33076271	33078660	33078781
11	"ENSG00000176148.11"	"TCP11L1"	chr11	+	33061675	33061748	33060962	33061338	33065295	33065482
12	"ENSG00000021488.8"	"SLC7A9"	chr19	-	33334760	33334857	33333073	33333223	33349345	33349449
13	"ENSG00000021488.8"	"SLC7A9"	chr19	-	33355534	33355682	33355001	33355244	33359353	33359465
14	"ENSG00000107295.8"	"SH3GL2"	chr9	+	17755741	17755831	17747063	17747132	17761434	17761507
15	"ENSG00000070182.13"	"SPTB"	chr14	-	65234020	65234070	65233443	65233519	65234380	65234577
16	"ENSG00000070182.13"	"SPTB"	chr14	-	65218928	65219033	65216698	65216872	65220254	65220511
17	"ENSG00000169981.6"	"ZNF35"	chr3	+	44694048	44694193	44692435	44692751	44700192	44702281
18	"ENSG00000184014.3"	"DENND5A"	chr11	-	9164268	9164392	9163520	9163655	9165643	9165726
19	"ENSG00000184014.3"	"DENND5A"	chr11	-	9168576	9168698	9167216	9167362	9171627	9171756
20	"ENSG00000184014.3"	"DENND5A"	chr11	-	9228719	9228755	9228219	9228329	9229107	9229179
21	"ENSG00000184014.3"	"DENND5A"	chr11	-	9198318	9198449	9192173	9192324	9199678	9199913
22	"ENSG00000184014.3"	"DENND5A"	chr11	-	9161735	9161795	9161061	9161401	9163486	9163655
23	"ENSG00000184014.3"	"DENND5A"	chr11	-	9164949	9165032	9164268	9164392	9165643	9165825
24	"ENSG00000184014.3"	"DENND5A"	chr11	-	9173904	9173989	9172226	9172311	9182259	9182412
25	"ENSG00000184014.3"	"DENND5A"	chr11	-	9164268	9165032	9163486	9163655	9165643	9165825
26	"ENSG00000184014.3"	"DENND5A"	chr11	-	9229107	9229179	9228219	9228329	9286507	9286634
27	"ENSG00000080910.7"	"CFHR2"	chr1	+	196918746	196918779	196912901	196913068	196919981	196920157
28	"ENSG00000080910.7"	"CFHR2"	chr1	+	196919981	196920158	196912956	196913068	196927020	196927203
29	"ENSG00000080910.7"	"CFHR2"	chr1	+	196918584	196918779	196912910	196913068	196919981	196920158
30	"ENSG00000080910.7"	"CFHR2"	chr1	+	196918565	196918779	196912946	196913068	196919981	196920069
31	"ENSG00000169100.8"	"SLC25A6"	chrX	-	1509084	1509183	1508133	1508620	1510791	1510996
32	"ENSG00000169100.8"	"SLC25A6"	chrX	-	1509084	1509186	1508133	1508620	1510791	1510981
33	"ENSG00000131061.9"	"ZNF341"	chr20	+	32332908	32333105	32328707	32328818	32336728	32336878
34	"ENSG00000131061.9"	"ZNF341"	chr20	+	32369096	32369193	32357889	32358098	32371537	32371670
35	"ENSG00000115760.9"	"BIRC6"	chr2	+	32666396	32666530	32664575	32664754	32667132	32667294
36	"ENSG00000115760.9"	"BIRC6"	chr2	+	32660563	32660653	32658711	32658872	32661120	32661252
37	"ENSG00000115760.9"	"BIRC6"	chr2	+	32815872	32816045	32800222	32800433	32818981	32819127
38	"ENSG00000241224.2"	"RP11-59E19.1"	chr3	+	108867099	108867233	108855732	108855743	108868651	108868970
39	"ENSG00000161654.5"	"LSM12"	chr17	-	42114229	42114470	42113534	42113668	42114779	42114906
40	"ENSG00000184674.8"	"GSTT1"	chr22	-	24379360	24379450	24376821	24376998	24384119	24384252
41	"ENSG00000184674.8"	"GSTT1"	chr22	-	24379360	24379511	24376821	24376998	24384119	24384242
42	"ENSG00000184674.8"	"GSTT1"	chr22	-	24382972	24383081	24381699	24381787	24384119	24384271
43	"ENSG00000184674.8"	"GSTT1"	chr22	-	24381699	24381787	24379360	24379511	24384119	24384284
