ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000181790.11"	"ADGRB1"	chr8	+	142524237	142524304	142526541	142526627	142522640	142522710	142533294	142533466
2	"ENSG00000135253.14"	"KCP"	chr7	-	128904283	128904380	128906278	128906363	128904055	128904138	128907100	128907177
3	"ENSG00000159256.13"	"MORC3"	chr21	+	36380230	36380318	36380625	36380682	36377409	36377507	36384729	36384829
4	"ENSG00000270011.7"	"ZNF559-ZNF177"	chr19	+	9333014	9333113	9337795	9337858	9324694	9324780	9338493	9338582
5	"ENSG00000270011.7"	"ZNF559-ZNF177"	chr19	+	9333014	9333113	9337795	9338017	9324694	9324780	9338493	9338582
6	"ENSG00000270011.7"	"ZNF559-ZNF177"	chr19	+	9341101	9341184	9364861	9364948	9324694	9324780	9376315	9376423
7	"ENSG00000077232.18"	"DNAJC10"	chr2	+	182752548	182752623	182754702	182754805	182752071	182752188	182755002	182755104
8	"ENSG00000198246.9"	"SLC29A3"	chr10	+	71344208	71344291	71351561	71351788	71322755	71323054	71356080	71356243
9	"ENSG00000078900.15"	"TP73"	chr1	+	3730926	3731065	3731462	3731556	3729326	3729448	3732746	3736200
10	"ENSG00000147408.14"	"CSGALNACT1"	chr8	-	19585165	19585317	19591159	19591278	19505200	19506130	19601770	19601865
11	"ENSG00000141380.14"	"SS18"	chr18	-	26081224	26081365	26084051	26084175	26078075	26078160	26087500	26087577
12	"ENSG00000141380.14"	"SS18"	chr18	-	26081224	26081365	26082362	26082528	26078075	26078160	26087500	26087577
13	"ENSG00000141380.14"	"SS18"	chr18	-	26079010	26079125	26084051	26084175	26078075	26078160	26087500	26087577
14	"ENSG00000141380.14"	"SS18"	chr18	-	26079010	26079125	26080304	26080423	26078075	26078160	26087500	26087577
15	"ENSG00000141380.14"	"SS18"	chr18	-	26079010	26079125	26082362	26082528	26078075	26078160	26087500	26087577
16	"ENSG00000141380.14"	"SS18"	chr18	-	26079010	26079125	26081224	26081365	26078075	26078160	26087500	26087577
17	"ENSG00000141380.14"	"SS18"	chr18	-	26082362	26082528	26084051	26084175	26079010	26079146	26087500	26087577
18	"ENSG00000141380.14"	"SS18"	chr18	-	26082362	26082528	26084051	26084175	26078075	26078160	26087500	26087577
19	"ENSG00000141380.14"	"SS18"	chr18	-	26080304	26080423	26084051	26084175	26078075	26078160	26087500	26087577
20	"ENSG00000141380.14"	"SS18"	chr18	-	26080304	26080423	26082362	26082528	26078075	26078160	26087500	26087577
21	"ENSG00000141380.14"	"SS18"	chr18	-	26080304	26080423	26081224	26081365	26078075	26078160	26087500	26087577
22	"ENSG00000141380.14"	"SS18"	chr18	-	26079010	26079146	26082362	26082528	26078075	26078160	26084051	26084175
23	"ENSG00000156398.13"	"SFXN2"	chr10	+	102716233	102716329	102724935	102724996	102714635	102714681	102726611	102726797
24	"ENSG00000156398.13"	"SFXN2"	chr10	+	102716613	102716711	102724935	102724996	102714635	102714681	102726611	102726797
25	"ENSG00000156398.13"	"SFXN2"	chr10	+	102715222	102715328	102716233	102716329	102714635	102714681	102726611	102726797
26	"ENSG00000156398.13"	"SFXN2"	chr10	+	102715222	102715328	102724935	102724996	102714635	102714681	102726611	102726797
27	"ENSG00000184182.18"	"UBE2F"	chr2	+	238016565	238016633	238025341	238025412	237994743	237994809	238030555	238030613
28	"ENSG00000184182.18"	"UBE2F"	chr2	+	238025341	238025412	238030555	238030613	238016565	238016633	238032221	238032254
29	"ENSG00000184182.18"	"UBE2F"	chr2	+	237973648	237973747	237986161	237986292	237973091	237973225	237987962	237987992
30	"ENSG00000184182.18"	"UBE2F"	chr2	+	237994743	237994809	238016565	238016633	237987962	237987992	238025341	238025412
31	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053792	70055655	70055910	70051202	70051305	70059642	70059680
32	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053792	70055713	70055910	70051202	70051305	70059642	70059680
33	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053792	70059642	70059680	70051202	70051305	70083537	70083687
34	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053792	70077300	70077381	70051202	70051305	70083537	70083687
35	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70059642	70059680	70083506	70083687	70055713	70055910	70085546	70085624
36	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70059642	70059680	70077300	70077381	70055713	70055910	70083506	70083687
37	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70059642	70059680	70077300	70077381	70055655	70055910	70085546	70085624
38	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70059642	70059680	70077300	70077381	70051202	70051305	70083537	70083687
39	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70059642	70059680	70083537	70083687	70051202	70051305	70085546	70085624
40	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70059642	70059680	70083506	70083687	70051202	70051305	70085546	70085624
41	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70059642	70059680	70077300	70077381	70051202	70051305	70083506	70083687
42	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70059642	70059680	70083537	70083687	70053730	70053792	70085546	70085624
43	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055713	70055910	70059642	70059680	70053730	70053792	70085546	70085624
44	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055713	70055910	70083537	70083687	70053730	70053792	70085546	70085624
45	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055713	70055910	70059642	70059680	70051202	70051305	70077300	70077381
46	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055713	70055910	70083537	70083687	70051202	70051305	70085546	70085624
47	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055713	70055910	70083506	70083687	70051202	70051305	70085546	70085624
48	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055713	70055910	70059642	70059680	70051202	70051305	70085546	70085624
49	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055713	70055910	70059642	70059680	70051202	70051305	70083506	70083687
50	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055713	70055910	70077300	70077381	70051202	70051305	70083506	70083687
51	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055713	70055910	70083537	70083687	70053730	70053815	70085546	70085624
52	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69968398	69968520	69988445	69988505	69963253	69963500	69996685	69996888
53	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69968398	69968520	69988741	69988838	69963253	69963500	69996685	69996888
54	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69968398	69968520	69975558	69975635	69963253	69963500	69996685	69996888
55	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70003045	70003315	70032132	70032255	69996685	69996888	70051202	70051305
56	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70003045	70003315	70018014	70018131	69996685	69996888	70051202	70051305
57	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70003045	70003315	70011654	70011752	69996685	69996888	70051202	70051305
58	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70077300	70077381	70083506	70083687	70055713	70055910	70085546	70085624
59	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70077300	70077381	70081369	70081490	70059642	70059680	70083537	70083687
60	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70077300	70077381	70083537	70083687	70059642	70059680	70085546	70085624
